|           RA |          DEC |  Vmag |         Source | idx | source_x | source_y | source_peak |     source_RA |    source_DEC |    source_fwhm | residual_aperture_sum | residual_aperture_sum_err |      instrmag |     instrmag_err |           alt |
|  55.73117540 |  47.78765330 |  3.01 | I/239/hip_main |   0 |  827.481 |  435.033 |     63020.8 | 55.7485365953 | 47.7664695356 |  1.02930850607 |         139632.025643 |             495.963334112 | 10.6047376285 | 0.00385384524097 | 9.57770946473 |
|  59.15181574 |  50.69569169 |  5.28 | I/239/hip_main |  24 |   694.01 |  400.053 |     19276.8 | 59.1502845892 | 50.6755010173 | 0.978093626158 |         24344.1715567 |             364.240159103 | 8.70826253225 |  0.0162338887444 |  10.583262962 |
|  61.64606374 |  50.35135022 |  4.25 | I/239/hip_main |   3 |  653.012 |   444.98 |     34472.4 | 61.6474282977 |  50.325391533 | 0.986703633635 |         42625.4342329 |             389.019539987 | 9.31644707317 | 0.00990221468665 |   9.388830855 |
|  62.16530527 |  47.71259359 |  3.96 | I/239/hip_main |   8 |  698.045 |  533.018 |     40801.5 | 62.1618444695 |  47.687009925 | 0.878094240463 |          48274.369475 |             393.899002475 | 9.45156655764 | 0.00885315380259 |  7.0064093448 |
|  64.17960437 |  53.61180318 |  5.20 | I/239/hip_main |  21 |  536.918 |  375.769 |     13889.7 | 64.1843539832 | 53.6006531855 |  1.14157298448 |         26516.3142054 |             370.479993164 |  8.8010579239 |  0.0151593765811 | 11.2705705898 |
|  64.56073112 |  50.29563944 |  4.60 | I/239/hip_main |  16 |  595.958 |  484.678 |     17973.7 | 64.5635750774 | 50.2708279069 |   1.0453686439 |         35269.3451509 |             379.948755557 | 9.11076852291 |  0.0116884619778 | 8.32961117944 |
|  64.80492598 |  50.04883763 |  5.46 | I/239/hip_main |  32 |  595.954 |   495.28 |     9893.64 | 64.8007875059 | 50.0283777058 |  1.02970388315 |          16551.011195 |             354.381306084 |  8.2893363636 |  0.0232314335705 | 8.04347884477 |
|  65.04796760 |  50.92095135 |  5.55 | I/239/hip_main |  35 |  573.752 |  470.999 |     9229.32 | 65.0507643269 | 50.9001325128 |  1.03897537051 |          15565.483263 |             353.625536194 | 8.22268155454 |  0.0246496495026 | 8.70124644793 |
|  69.97786313 |  53.07957406 |  5.07 | I/239/hip_main |  25 |  434.986 |  457.775 |     12308.6 |  70.004376542 | 53.0689849272 |  1.22379215585 |         24024.6602066 |             368.015682963 | 8.69391816734 |  0.0166202981679 | 9.05213763186 |
|  69.99180673 |  53.47323647 |  5.36 | I/239/hip_main |  29 |  427.828 |  445.021 |     11177.0 | 70.0180333566 | 53.4627626834 |  1.18976629245 |         20083.4913906 |             362.469639345 | 8.49937306863 |  0.0195822305515 | 9.39474447296 |
|  74.32175175 |  53.75208289 |  4.43 | I/239/hip_main |   5 |  336.878 |   477.86 |     17865.2 | 74.3560832264 | 53.7438758224 |  1.34018888636 |         39705.6981805 |             390.059355377 | 9.23940712504 |  0.0106587824916 | 8.48435549796 |
