|           RA |          DEC |  Vmag |         Source | idx | source_x | source_y | source_peak |     source_RA |     source_DEC |    source_fwhm | residual_aperture_sum | residual_aperture_sum_err |      instrmag |     instrmag_err |           alt |
| 266.90330267 | -14.72578118 |  5.93 | I/239/hip_main |  58 |  1003.23 |  545.136 |     10010.9 | 266.905102876 | -14.7248378826 |  1.18489471851 |         20426.0522325 |             492.579991819 | 8.51773612785 |  0.0261650800183 | 30.5193440196 |
| 268.26463725 | -10.89948880 |  6.17 | I/239/hip_main |  68 |  986.154 |  392.056 |     8888.38 | 268.266438471 | -10.9025220789 | 0.985502324262 |         17336.9681093 |             474.206072827 | 8.33970790831 |  0.0296772530108 | 34.5636263383 |
| 269.75665662 |  -9.77334973 |  3.32 | I/239/hip_main |  12 |   940.35 |  338.705 |     60831.1 | 269.749824241 | -9.77714392949 |  1.33744315861 |         224255.019592 |             654.952681489 | 11.1191304646 | 0.00316881941242 | 36.1283317244 |
| 269.94815306 | -23.81601126 |  4.74 | I/239/hip_main |   6 |  817.918 |  856.154 |     34195.6 | 269.934363881 | -23.8175873337 |  1.22036981446 |         65033.0342762 |             563.539076864 | 9.77511007642 | 0.00940198939205 | 22.8688234907 |
| 270.71290783 | -24.28242475 |  5.37 | I/239/hip_main |  62 |  788.097 |  867.395 |     11072.6 | 270.693891565 | -24.2873928787 |  1.45433307599 |         33967.6110038 |              545.57594905 | 9.06993754082 |  0.0174268924786 | 22.6218025741 |
| 270.77046145 |  -8.18025785 |  4.77 | I/239/hip_main |  40 |  915.537 |  271.574 |     15928.6 | 270.766896949 | -8.18353781118 |  1.26604233905 |         61782.0516745 |             512.768179617 | 9.71943084844 | 0.00900509872698 | 37.9678203032 |
| 271.53083743 |  -8.32391503 |  5.84 | I/239/hip_main |  48 |   886.28 |  271.123 |     11496.7 | 271.521546772 | -8.31629199227 | 0.963114213857 |         24826.4335335 |             477.118314246 | 8.72956087007 |  0.0208517010814 |  38.087721665 |
| 272.02067917 | -28.45701627 |  4.55 | I/239/hip_main |  36 |  709.571 |  1013.14 |     20693.5 | 272.030236933 | -28.4322386449 |   1.4612341889 |         63069.6749545 |             593.945484471 |  9.7418265144 |   0.010217760772 | 18.9633380867 |
| 274.51328312 | -27.04263452 |  4.66 | I/239/hip_main |  28 |  638.627 |  941.974 |     26481.9 |  274.49782872 | -27.0537583578 |  1.25939871548 |         53888.6827538 |             576.405267057 | 9.57101895227 |  0.0116053999244 | 20.8380824126 |
| 278.18050927 | -14.86565430 |  5.47 | I/239/hip_main |  45 |  598.273 |  467.191 |     16585.4 | 278.161412272 | -14.8536780268 |  1.13511491267 |          30197.757093 |             514.371929825 | 8.94221175098 |  0.0184812912476 | 33.4882820121 |
| 278.41251698 | -14.85359142 |  5.74 | I/239/hip_main |  53 |  590.072 |  465.249 |     13318.8 | 278.395572982 | -14.8409160157 |  1.17516075122 |         17118.1016039 |             505.701967644 | 8.32591403199 |  0.0320530072545 | 33.5463223258 |
| 281.41397083 | -26.99077940 |  3.17 | I/239/hip_main |   2 |   409.73 |  897.386 |     61942.3 |  281.41334731 | -27.0162701126 |  1.36731959455 |         219743.549884 |             693.288725658 | 11.0970653728 |  0.0034231642646 | 22.0119331057 |
| 281.79365558 |  -4.74782871 |  4.22 | I/239/hip_main |  21 |  530.661 |  68.9389 |     25988.3 | 281.787891446 | -4.74630026536 |  1.61743868618 |          99998.424763 |             542.519983567 | 10.2422579295 | 0.00588643454699 | 44.0841855496 |
| 281.87073367 |  -5.70507074 |  5.38 | I/239/hip_main |  74 |  521.932 |  104.353 |     9793.02 | 281.866981783 | -5.68890039418 |   1.3231582045 |         26798.2090708 |             477.985838384 | 8.81253946007 |   0.019352585588 | 43.1680888849 |
| 283.67964704 | -15.60302217 |  5.08 | I/239/hip_main |  15 |  397.877 |  462.051 |     20549.6 | 283.699141486 | -15.5995609362 |  1.31638570165 |         42375.2866473 |             509.721758692 | 9.31005665503 |  0.0130511945036 |  33.606150265 |
| 283.81631956 | -26.29659428 |  2.05 | I/239/hip_main |  10 |  333.416 |  859.041 |     62032.8 | 283.822983403 | -26.3223172691 |  1.86416341703 |         306053.285708 |             747.452483354 | 11.4567676484 | 0.00264981943443 | 22.9595610696 |
| 284.26514217 |  -5.84621426 |  4.83 | I/239/hip_main |  43 |  431.966 |  95.3416 |     18557.4 | 284.263665101 | -5.83559596838 |  1.45767237417 |         57951.5188904 |              507.02972295 | 9.64993709043 | 0.00949288750207 | 43.3672167386 |
| 285.42017236 |  -5.73901832 |  4.02 | I/239/hip_main |  51 |  389.498 |  84.6141 |     16628.6 | 285.416244531 | -5.73534590132 |  1.70387764024 |         120519.032521 |             563.126959248 | 10.4449141242 | 0.00506967852297 | 43.5959690311 |
