|           RA |          DEC |  Vmag |         Source | idx | source_x | source_y |     source_RA |       source_DEC | residual_aperture_sum |      instrmag |           alt |
| 245.43654496 | -10.18615938 |  8.27 | I/239/hip_main | 272 |  1001.45 |  786.464 | 245.463142621 |   -10.1836269536 |         2212.23710831 | 6.10435421491 |  24.329262775 |
| 245.84741595 |  -8.98244936 |  8.38 | I/239/hip_main | 380 |   1011.0 |  739.527 | 245.848986491 |   -8.99563434891 |         2007.14215365 | 5.99872036254 | 25.5100994886 |
| 246.40921977 | -10.08410869 |  8.09 | I/239/hip_main | 299 |  971.739 |  765.195 | 246.397505742 |   -10.0849830313 |         2714.51596557 | 6.32650603333 | 24.9531134901 |
| 246.87871302 | -10.14279097 |  8.58 | I/239/hip_main | 344 |  955.224 |   757.86 | 246.862442126 |    -10.131139683 |         2187.58295099 | 6.09218635759 | 25.1841909815 |
| 246.93107061 |  -7.59755617 |  5.24 | I/239/hip_main |  31 |  1000.67 |  672.838 | 246.926989717 |   -7.60433785106 |         31081.2672368 | 8.97352182608 |  27.263184538 |
| 246.95094563 |  -8.37170055 |  4.62 | I/239/hip_main |  20 |  985.573 |   698.03 | 246.944555719 |   -8.37334104976 |         63715.3169259 | 9.75288465169 | 26.6540769494 |
| 247.06692672 | -16.21212246 |  7.19 | I/239/hip_main | 110 |  833.593 |  955.668 | 247.073366026 |   -16.2016807964 |         4689.52517008 | 6.92009721049 | 20.3257404063 |
| 247.11738999 | -13.39964364 |  6.89 | I/239/hip_main | 146 |  885.339 |  861.643 | 247.110398308 |   -13.4031433846 |         6777.32529774 | 7.31992086099 | 22.6529159017 |
| 247.20411533 |  -8.12867261 |  6.49 | I/239/hip_main | 155 |  981.632 |  685.227 | 247.196025589 |   -8.13001250301 |         11881.9408503 | 7.92949349771 | 26.9974454763 |
| 247.44542879 | -14.55089750 |  5.66 | I/239/hip_main |  37 |  852.999 |  893.546 | 247.436825779 |   -14.5507110471 |         22111.7099781 |  8.6038308561 | 21.8876163806 |
| 247.45198461 | -11.12951989 |  6.90 | I/239/hip_main | 191 |  917.406 |  780.417 | 247.428468796 |   -11.1363786338 |         8178.90935616 | 7.52401352025 | 24.6884419321 |
| 247.60709903 | -10.44119715 |  7.47 | I/239/hip_main | 263 |  924.993 |  754.644 | 247.587376439 |   -10.4484249734 |         4023.17239345 | 6.75369663888 | 25.3404797615 |
| 247.62506733 |  -7.51445768 |  6.46 | I/239/hip_main | 103 |  978.842 |  657.062 | 247.617259172 |   -7.51835729495 |          11523.492378 | 7.89623532977 | 27.7375867177 |
| 247.78497886 | -16.61264015 |  4.29 | I/239/hip_main |  11 |  803.008 |   955.55 | 247.781641084 |   -16.6062232445 |         73601.4139596 | 9.90949042668 | 20.3695753186 |
| 247.82583658 |  -7.92077734 |  7.32 | I/239/hip_main | 220 |  964.718 |  666.918 | 247.810126209 |   -7.92413264384 |         4556.30277201 | 6.88880647196 | 27.5216531613 |
| 247.94981600 |  -7.02322941 |  7.41 | I/239/hip_main | 264 |  977.423 |  635.023 | 247.929482448 |   -7.02883244441 |         4698.60832542 | 6.92219814221 | 28.3156451508 |
| 248.00427187 |  -9.69609174 |  7.28 | I/239/hip_main | 245 |  925.815 |  722.517 | 247.980848701 |   -9.70053634076 |         5230.84737148 | 7.03870515285 | 26.1748518141 |
| 248.03374023 | -12.43162015 |  6.98 | I/239/hip_main | 182 |  873.685 |  812.442 | 248.013659549 |   -12.4378388933 |         6976.08842003 | 7.35130497383 | 23.9477082174 |
| 248.15898740 | -15.98720859 |  7.02 | I/239/hip_main | 119 |  802.834 |  927.866 |  248.14807745 |   -15.9879679749 |         5682.25764564 | 7.12857733669 | 21.0791850341 |
| 248.34757339 |  -4.26185658 |  7.24 | I/239/hip_main | 247 |  1014.92 |  535.622 | 248.345036066 |   -4.27106199094 |         5534.06397693 | 7.09988547133 | 30.7800016028 |
| 248.61784712 |  -6.13615439 |  7.75 | I/239/hip_main | 381 |  971.764 |   592.73 | 248.594406269 |   -6.12373038801 |         3680.98952824 | 6.65718648742 | 29.4362514797 |
| 249.25061236 |  -2.66269547 |  8.75 | I/239/hip_main | 470 |  1014.08 |  464.757 | 249.255959576 |   -2.64785444668 |         2810.87345426 | 6.36437826771 | 32.6243806341 |
| 249.61942262 | -18.22042658 |  6.73 | I/239/hip_main |  74 |  714.334 |  975.089 | 249.604102654 |   -18.2189095533 |         8595.79178568 | 7.57798975029 | 19.9641335801 |
| 249.64479268 | -18.82566791 |  6.97 | I/239/hip_main | 101 |  701.986 |  994.868 | 249.635677057 |   -18.8236761792 |         5206.35856427 | 7.03361021967 | 19.4684653978 |
| 249.81483978 |  -1.75797157 |  7.50 | I/239/hip_main | 390 |  1011.48 |  425.059 | 249.812673324 |   -1.76437818291 |         4527.15195448 | 6.88183771226 | 33.6649683081 |
| 249.85028037 |  -3.10576463 |  7.75 | I/239/hip_main | 413 |  985.817 |  469.568 | 249.833262215 |   -3.10133746229 |         4503.39191922 | 6.87612439302 | 32.6047056187 |
| 250.28429271 |  -2.85619761 |  7.21 | I/239/hip_main | 229 |  975.371 |  453.571 | 250.271425759 |   -2.85798874874 |         5574.65061908 | 7.10781916744 | 33.0599915949 |
| 250.29805122 |  -1.00028370 |  6.25 | I/239/hip_main |  86 |  1008.99 |  391.038 | 250.295132315 |   -1.01093987606 |         14448.6032293 | 8.14183969539 | 34.5570965234 |
| 250.34258818 | -13.39515554 |  8.83 | I/239/hip_main | 254 |  780.495 |  801.578 | 250.317330213 |   -13.4053965222 |         1596.82875578 | 5.75042089455 | 24.3896999279 |
| 250.47364200 | -19.92447879 |  5.55 | I/239/hip_main |  16 |  655.297 |  1016.02 | 250.469886867 |   -19.9092002546 |         27309.1157367 | 8.83304412754 | 18.9607105187 |
| 250.98625426 |  -2.63086640 |  8.32 | I/239/hip_main | 480 |  955.833 |  433.776 | 250.964987242 |   -2.63614104652 |         2987.20381866 | 6.43043717197 | 33.6473531605 |
| 251.07391400 |  -0.55669654 |  7.41 | I/239/hip_main | 372 |  990.298 |  362.111 | 251.079696425 |  -0.566921966427 |         4876.97053705 | 6.96265036233 | 35.3828535164 |
| 251.07549477 |  -0.56020084 | 10.39 | I/239/hip_main | 372 |  990.298 |  362.111 | 251.079696425 |  -0.566921966427 |         4876.97053705 | 6.96265036233 | 35.3828535164 |
| 251.37573793 | -19.13692789 |  6.60 | I/239/hip_main | 117 |  641.913 |  973.917 | 251.350036711 |   -19.1436485911 |         6984.11797993 | 7.35255395033 | 20.0456240461 |
| 251.65972683 |  -3.19563769 |  8.26 | I/239/hip_main | 478 |   922.86 |  439.634 | 251.645686827 |   -3.17280000066 |         2489.45876682 | 6.23253737603 | 33.6070591035 |
| 251.79066579 |   2.06456336 |  6.07 | I/239/hip_main |  84 |  1014.13 |  259.907 | 251.812017118 |    2.05181527552 |           14859.61842 | 8.17229417583 | 37.9139708302 |
| 252.05746997 |   1.09050361 |  7.18 | I/239/hip_main | 212 |  987.571 |  288.959 | 252.053375952 |    1.08097848108 |         5798.85541661 | 7.15063073397 | 37.2858618894 |
