|           RA |          DEC |  Vmag |         Source | idx | source_x | source_y | source_peak |     source_RA |     source_DEC |   source_fwhm | residual_aperture_sum | residual_aperture_sum_err |      instrmag |     instrmag_err |           alt |
| 229.82741626 |   1.76665611 |  5.04 | I/239/hip_main |  22 |  911.494 |  850.055 |     15078.3 | 229.849922837 |   1.7731386829 | 1.38361886501 |         44576.0851256 |             514.560385789 | 9.36502984278 |  0.0125246085879 | 23.0102423238 |
| 230.25842001 |   0.71558981 |  5.35 | I/239/hip_main |  30 |  872.804 |    869.3 |     11234.2 | 230.269646686 | 0.728776810079 | 1.34984980128 |         29415.0314591 |              501.98983656 | 8.91369832551 |  0.0185163484671 |  22.587790405 |
| 232.15952692 |   1.84216258 |  5.15 | I/239/hip_main |   7 |  845.999 |  789.085 |     25273.2 | 232.143621679 |  1.85174404354 | 1.14670129441 |         37820.8753052 |             503.583560551 | 9.18660397176 |  0.0144467350052 |  24.713660583 |
| 233.24144948 |  -1.18629929 |  5.50 | I/239/hip_main |  15 |  739.238 |   848.12 |     15228.3 | 233.219503208 | -1.17924496244 | 1.24951786557 |         26789.4904549 |             498.692580643 | 8.81218616567 |  0.0201975267469 |  23.332332362 |
| 233.70079260 |  10.53885916 |  3.80 | I/239/hip_main |   0 |  1018.01 |  501.136 |     62606.2 | 233.713383204 |  10.5232429289 | 1.23287075219 |         155642.276808 |             556.957459638 | 10.7225939706 | 0.00388261374801 | 31.7604311915 |
| 234.12313310 |  10.01045490 |  5.26 | I/239/hip_main |  44 |  992.712 |  506.137 |     17049.6 | 234.126701836 |  10.0049861685 |  1.1118664313 |         37699.8374069 |             480.532640962 | 9.18312372545 |  0.0138297125745 | 31.7219624572 |
| 240.19850629 |  -8.41132413 |  5.53 | I/239/hip_main |  40 |  361.957 |  878.221 |     12495.8 | 240.186174372 | -8.40689063359 | 1.40759410146 |         27674.3619915 |              504.12709636 | 8.84746907598 |  0.0197647880633 | 22.6084913372 |
| 242.24541959 |   3.45444515 |  5.93 | I/239/hip_main |  49 |  599.985 |  493.191 |     12330.2 | 242.232241956 |  3.47654802044 |  1.0278328344 |         20370.1394339 |              463.33082893 | 8.51476003693 |  0.0246789645706 | 32.9166442836 |
| 242.46055144 |  -3.46673076 |  5.39 | I/239/hip_main |  39 |  422.297 |   682.18 |     14640.0 | 242.449441015 |  -3.4821511254 | 1.21160019786 |         34168.4031246 |             491.936466367 | 9.07633673834 |  0.0156211885016 | 27.8345509252 |
| 243.00000648 | -10.06418514 |  4.93 | I/239/hip_main |  26 |  241.885 |  855.841 |     18211.0 | 242.991771089 | -10.0482839859 | 1.44732176444 |         45245.3094239 |             519.096229981 | 9.38120893906 |  0.0124481281419 |  23.057131339 |
| 243.03037216 |  -8.54757943 |  5.43 | I/239/hip_main |  41 |  279.215 |  811.782 |     10653.1 | 243.024086608 | -8.55037131583 | 1.45189583525 |         28558.2006223 |             498.138321037 | 8.88160213303 |  0.0189255648657 | 24.2579857385 |
| 243.58652601 |  -3.69397562 |  2.73 | I/239/hip_main |   1 |  385.085 |  660.714 |     62398.7 | 243.580644218 |  -3.7105263514 |    1.49870035 |          231116.44225 |             662.777987157 | 11.1518521412 | 0.00311147968991 | 28.3797524745 |
| 243.90472242 |  -8.36823651 |  5.49 | I/239/hip_main |  34 |  259.128 |  785.038 |     12454.7 | 243.902513237 | -8.37445145596 | 1.42451960388 |         28681.5319572 |             495.361513132 | 8.88628089363 |  0.0187391399647 | 24.9311261478 |
| 244.58016994 |  -4.69260809 |  3.23 | I/239/hip_main |   2 |  332.391 |  664.179 |     62393.9 | 244.579215573 | -4.70758283081 | 1.41438183495 |         201095.276518 |             638.898212503 | 11.0007797067 | 0.00344714491841 | 28.2306829749 |
| 245.51850007 |   1.02892219 |  4.82 | I/239/hip_main |  18 |  448.127 |  480.222 |     28434.8 | 245.528136648 |  1.03643080002 | 1.18641772107 |         56953.6720162 |             502.759635325 | 9.63107935729 | 0.00957785837184 | 33.2735756528 |
| 246.35387324 |  14.03341514 |  4.57 | I/239/hip_main |  12 |  750.692 |  93.0553 |     30275.3 | 246.346608292 |  14.0136832219 | 1.20575974821 |         74056.3798585 |             497.421039838 | 9.91618122842 | 0.00728771551155 | 43.2640818779 |
| 246.95094563 |  -8.37170055 |  4.62 | I/239/hip_main |  20 |  173.701 |  709.924 |     19395.9 | 246.949044095 | -8.36634703555 | 1.60740638797 |         63287.1429464 |             523.656749778 | 9.74556375801 | 0.00897761452102 | 26.7500088039 |
| 247.14157201 |   0.66516717 |  5.41 | I/239/hip_main |  51 |  393.567 |  450.167 |     10854.2 | 247.160848129 | 0.670812394971 | 1.25483568083 |           32126.24954 |             473.071392621 | 9.00942510355 |  0.0159770427094 | 34.0370112813 |
| 247.72850509 |   1.98410056 |  3.82 | I/239/hip_main |  10 |  409.924 |  398.707 |     59176.2 | 247.748796113 |  1.99584641357 | 1.36950298282 |         149710.311958 |             582.518210378 | 10.6804043208 | 0.00422170156481 | 35.4339561594 |
| 248.15165942 |  11.48823391 |  4.84 | I/239/hip_main |  23 |  636.392 |  121.021 |     14589.6 | 248.152153452 |  11.4948475113 | 1.41371874028 |          55005.683183 |             479.626867592 | 9.59329394023 | 0.00946075243908 | 42.7690740949 |
| 251.45788751 |   8.58257816 |  5.15 | I/239/hip_main |  28 |  471.254 |   120.13 |     12448.0 | 251.466176804 |  8.59429879878 | 1.48759497958 |         42560.5201242 |             465.683375626 |  9.3147923494 |  0.0118717172882 | 42.8607534283 |
| 252.58062783 |   7.24770528 |  5.48 | I/239/hip_main |  42 |  406.177 |  129.278 |     10442.5 | 252.590000146 |  7.25971679989 | 1.43916230194 |         32952.2765223 |             455.784042043 | 9.03698859099 |   0.015007329927 | 42.5650923916 |
| 253.50209743 |  10.16544339 |  4.39 | I/239/hip_main |  13 |  455.054 |  23.4999 |     29489.9 | 253.483346199 |  10.1540532975 | 1.38910471968 |         93160.4610409 |             513.431832903 | 10.1653541054 | 0.00597972071494 | 45.3439610428 |
| 254.41779418 |   9.37505626 |  3.19 | I/239/hip_main |   5 |  409.456 |  22.3849 |     60589.1 | 254.393314648 |  9.36586453477 | 1.58218565764 |         258938.371366 |             655.296939699 | 11.2752660628 | 0.00274581621805 | 45.3255504454 |
