|           RA |          DEC |  Vmag |         Source | idx | source_x | source_y | source_peak |     source_RA |    source_DEC |   source_fwhm | residual_aperture_sum | residual_aperture_sum_err |      instrmag |     instrmag_err |           alt |
| 214.93883677 |  16.30680118 |  4.84 | I/239/hip_main |  29 |  850.954 |  922.368 |     19953.5 | 214.959785332 | 16.3128168058 | 1.36774902176 |         49897.2857835 |             535.529440423 |  9.4874673384 |   0.011644910815 | 21.3374704809 |
| 216.61420112 |  19.22683490 |  5.40 | I/239/hip_main |  45 |   892.99 |  802.614 |     13020.7 | 216.610123887 | 19.2303605201 | 1.31819950651 |         32838.7603492 |             507.918288277 | 9.03324191828 |  0.0167817340521 | 24.3507433163 |
| 220.41148550 |   8.16175611 |  4.86 | I/239/hip_main |  15 |  482.989 |  969.652 |     23026.6 | 220.400037722 | 8.15307595825 | 1.28758245674 |         47100.7159698 |             539.439296091 | 9.42484380455 |  0.0124263851241 | 20.3567659238 |
| 220.85571623 |  26.52789077 |  4.80 | I/239/hip_main |  35 |  1003.25 |  507.915 |     21864.5 | 220.859556124 | 26.5260378921 | 1.28316546453 |         55494.1668372 |             507.027870542 | 9.60289337125 | 0.00991320837651 | 31.7274104404 |
| 221.24687869 |  27.07417383 |  2.35 | I/239/hip_main |   1 |  1010.42 |  484.367 |     62617.0 | 221.249488344 | 27.0685708923 | 1.52238506037 |          282866.88295 |             695.222899848 | 11.3712302945 | 0.00266668490305 | 32.3134401263 |
| 226.11190457 |  26.94765981 |  4.52 | I/239/hip_main |  28 |  900.364 |  361.186 |     31461.2 | 226.105562291 | 26.9686723681 | 1.13000001996 |         75218.6984007 |             520.427022351 |  9.9330895676 | 0.00750695413848 | 35.9203981403 |
| 226.83476051 |  18.44194658 |  6.03 | I/239/hip_main |  39 |  634.168 |  542.112 |     12138.0 | 226.812817578 | 18.4549919341 | 1.01448048324 |         19149.2910789 |             473.059670667 | 8.44765678426 |   0.026803589781 | 31.6537250871 |
| 227.09908475 |  26.30118271 |  5.67 | I/239/hip_main |  55 |  860.067 |  350.607 |     9381.46 | 227.092931825 | 26.3270020089 | 1.02183370904 |         26082.0491947 |             467.035001987 | 8.78312930682 |  0.0194284188859 | 36.3272352376 |
| 228.01780223 |  18.97600352 |  5.90 | I/239/hip_main |  32 |  623.954 |  496.921 |     12705.1 | 227.999280611 | 18.9948256376 | 1.07340556452 |         17774.2481451 |             470.255358212 |  8.3667531301 |  0.0287059716673 | 32.8781209192 |
| 228.62168817 |  29.16422593 |  5.28 | I/239/hip_main |  44 |  914.139 |  242.961 |     16131.6 | 228.620573476 | 29.1583302897 | 1.29895534094 |         37846.1492451 |             472.822798588 | 9.18732927668 |  0.0135552162294 | 38.9515360331 |
| 229.82741626 |   1.76665611 |  5.04 | I/239/hip_main |  17 |  69.2693 |  843.092 |     13908.6 | 229.826990556 | 1.79082824302 | 1.46180820068 |         40517.3744905 |             518.639192309 | 9.26137827125 |  0.0138884498498 | 23.1113916996 |
| 230.03599149 |  29.61631109 |  5.51 | I/239/hip_main |  51 |  899.099 |   195.18 |     14426.2 | 230.036043146 | 29.6044678712 | 1.09968255464 |         31865.6428359 |             464.947470391 | 9.00058174269 |  0.0158310945733 | 40.2430488674 |
| 230.80094284 |  30.28824114 |  4.99 | I/239/hip_main |  36 |  904.266 |  159.307 |     17237.2 | 230.801825248 | 30.2626824466 | 1.00859484411 |         48988.1456379 |             480.409801526 | 9.46750253326 |  0.0106402197484 | 41.1443750353 |
| 231.44752151 |  15.42805438 |  5.16 | I/239/hip_main |   8 |  443.885 |  480.974 |     20284.0 | 231.455253909 | 15.4189910789 | 1.26088275604 |         38671.8689626 |             489.194413183 | 9.21076293623 |   0.013725117315 | 33.3246311174 |
| 231.95771631 |  29.10549164 |  3.66 | I/239/hip_main |   9 |  845.003 |  156.279 |     62879.7 | 231.954063846 | 29.0982470218 |    1.25402391 |         149259.044737 |             575.657449554 |  10.677126677 | 0.00418459285913 | 41.4430099724 |
| 233.67162293 |  26.71491041 |  2.22 | I/239/hip_main |  18 |   737.39 |  164.627 |     62867.0 | 233.673277988 | 26.7264955113 | 1.75622395509 |         344523.663854 |             727.766557071 | 11.5853226753 | 0.00229193752786 | 41.5389555172 |
| 235.68599269 |  26.29551419 |  3.81 | I/239/hip_main |   0 |  684.837 |  118.312 |     62892.9 | 235.686726286 | 26.3100050113 | 1.21241586526 |         150630.086025 |             575.948106263 | 10.6870543428 | 0.00414859814388 | 42.8536991258 |
| 236.06664914 |   6.42551971 |  2.63 | I/239/hip_main |   2 |  69.4642 |  546.839 |     62549.5 | 236.064826299 | 6.41604444954 | 2.07306857658 |         363816.048544 |             753.973180581 | 11.6444796641 | 0.00224855639053 | 30.8029062139 |
| 236.61144121 |   7.35323973 |  4.42 | I/239/hip_main |  22 |  85.7941 |   509.61 |     17371.3 | 236.610774057 |  7.3381758772 | 1.86445644112 |         82048.1241576 |             533.596614476 | 10.0274466734 | 0.00705625305453 | 31.8317931432 |
| 237.39874182 |  26.06854936 |  4.59 | I/239/hip_main |  21 |  644.078 |  75.4436 |     27018.2 |  237.39743423 | 26.0706864495 |  1.2742400865 |          72344.492706 |             502.004638432 | 9.89078872159 | 0.00752890803883 | 44.0302773856 |
| 237.81642977 |  20.97787548 |  4.74 | I/239/hip_main |  37 |  477.968 |  174.579 |     17117.7 | 237.838476148 | 20.9938924613 | 1.47165146051 |         61362.8412076 |             494.849856267 | 9.71203868253 | 0.00874979195037 | 41.5245818211 |
| 238.64443288 |  20.31086363 |  5.45 | I/239/hip_main |  50 |  440.614 |  164.981 |      9352.6 | 238.664642584 | 20.3234721113 | 1.47356085632 |         32794.2635167 |             464.601966223 | 9.03176973776 |  0.0153713814337 |  41.751576458 |
| 240.30977487 |  17.81802578 |  5.10 | I/239/hip_main |  31 |  329.228 |  169.422 |     13014.5 | 240.327038556 | 17.8212383645 | 1.50642738953 |         44869.3593693 |             477.590639002 | 9.37214970466 |  0.0115487684826 |  41.470484075 |
| 240.57370453 |  22.80439543 |  4.82 | I/239/hip_main |  30 |   479.98 |  55.0002 |     19714.4 | 240.567241869 | 22.8070475984 | 1.48002378961 |         57714.9206835 |             487.234562529 |  9.6454952904 |  0.0091596677962 | 44.6387664169 |
| 242.01894370 |  17.04699349 |  5.00 | I/239/hip_main |  23 |  270.121 |  134.494 |     16925.5 | 242.017979852 | 17.0496000757 | 1.58521476761 |         61400.2953897 |             495.434494885 | 9.71270118374 | 0.00875478568204 | 42.2362799237 |
| 242.02070728 |  17.05445306 |  6.25 | I/239/hip_main |  23 |  270.121 |  134.494 |     16925.5 | 242.017979852 | 17.0496000757 | 1.58521476761 |         61400.2953897 |             495.434494885 | 9.71270118374 | 0.00875478568204 | 42.2362799237 |
