|           RA |          DEC |  Vmag |         Source | idx | source_x | source_y | source_peak |      source_RA |    source_DEC |    source_fwhm | residual_aperture_sum | residual_aperture_sum_err |      instrmag |     instrmag_err |           alt |
|   0.12908900 |  59.55973786 |  6.18 | I/239/hip_main | 160 |  644.795 |  991.839 |     8225.46 | 0.127638525398 | 59.5665354868 |  1.16348622874 |         15785.4433863 |              374.88812708 |   8.237916995 |  0.0257676397126 | 44.8607609701 |
|   0.40424537 |  61.22280406 |  5.58 | I/239/hip_main |  87 |  580.982 |  994.594 |     15106.1 | 0.410321054916 | 61.2350835248 |  1.12954898241 |         29502.7441429 |             395.234984707 |  8.9169310649 |  0.0145352566639 | 44.8855336847 |
|   0.65034249 |  66.09896341 |  5.87 | I/239/hip_main |  79 |   395.14 |  990.048 |     16087.7 |  0.64656199118 | 66.1126479833 |  1.17068809664 |         30989.8161467 |             394.550769048 | 8.97032253179 |  0.0138138149123 | 45.0014603675 |
|   0.66015960 |  66.10037725 |  7.20 | I/239/hip_main |  79 |   395.14 |  990.048 |     16087.7 |  0.64656199118 | 66.1126479833 |  1.17068809664 |         30989.8161467 |             394.550769048 | 8.97032253179 |  0.0138138149123 | 45.0014603675 |
|   0.85715406 |  63.64052431 |  6.24 | I/239/hip_main | 148 |  488.909 |   998.19 |     8722.64 | 0.854304871828 | 63.6448699162 |  1.22074078849 |         18027.9689436 |             380.017900755 | 8.38214203564 |  0.0228710967724 | 44.8450424219 |
|   0.96511407 |  66.71220273 |  6.31 | I/239/hip_main | 184 |  371.924 |  993.762 |     7225.79 | 0.959077896664 | 66.7135986167 |  1.15352621492 |         13328.7979876 |               372.3212652 | 8.05425249703 |  0.0303079522338 | 44.8775003639 |
|   1.05693212 |  62.28766460 |  5.90 | I/239/hip_main | 166 |  540.005 |  1004.47 |     7905.13 |  1.05441746119 | 62.2978811635 |  1.17728702671 |          24034.030112 |             388.326187477 | 8.69434153492 |    0.01753072254 | 44.6682999493 |
|   1.17432297 |  67.16638761 |  5.68 | I/239/hip_main |  95 |  354.101 |   995.88 |     14263.4 |  1.16088072652 | 67.1749662287 |  1.12192283974 |          25016.491705 |             387.005590183 | 8.73784104372 |  0.0167849701029 | 44.7969458395 |
|   1.27555231 |  61.31396468 |  5.80 | I/239/hip_main | 145 |  576.929 |  1010.44 |     8812.25 |  1.26394278761 | 61.3240613432 |  1.19904106138 |         24197.5231746 |             387.046632482 | 8.70170231869 |  0.0173549000537 | 44.4851862986 |
|   1.61052855 |  64.19616859 |  5.57 | I/239/hip_main |  63 |  466.951 |  1009.87 |     17944.9 |  1.60606260019 | 64.2021765807 |  1.10937019632 |         28556.7731119 |             393.697605258 | 8.88154786006 |  0.0149583393064 | 44.5438290298 |
| 307.39511383 |  62.99413722 |  4.21 | I/239/hip_main |  13 |  197.291 |  167.251 |     31580.0 |  307.427127228 | 62.9873861806 |  1.48985351553 |         108034.977762 |             479.690409985 | 10.3261859997 | 0.00481755173757 | 65.7082804523 |
| 311.32195263 |  61.83679404 |  3.41 | I/239/hip_main |   6 |  276.394 |  188.843 |     46390.4 |  311.309277194 |  61.837390106 |  1.75497607673 |         223130.954665 |             587.935645072 | 11.1136745914 |  0.0028589048788 | 65.7080695779 |
| 311.33831928 |  57.58029799 |  4.52 | I/239/hip_main |  25 |  399.026 |  83.5022 |     16724.8 |  311.352685449 | 57.5704033704 |  1.43534929626 |         85369.2979846 |             455.239828482 | 10.0705293078 | 0.00578586477298 | 68.9680441712 |
| 314.85555250 |  59.43855678 |  5.54 | I/239/hip_main |  74 |  388.219 |  182.322 |     10587.9 |   314.82234217 | 59.4273188779 |  1.45385659858 |         32906.6471738 |             394.544557817 | 9.03548411929 |  0.0130089474923 | 66.3736470654 |
| 315.53748512 |  56.66961137 |  5.83 | I/239/hip_main |  89 |  479.869 |  129.979 |     9371.94 |  315.529070467 | 56.6544666237 |  1.47918918392 |         25362.1821649 |             383.853311859 | 8.75274157643 |  0.0164213331747 |  67.898799225 |
| 315.94827016 |  53.28582252 |  5.93 | I/239/hip_main | 111 |  588.103 |  60.3801 |     8792.13 |  315.962753896 | 53.2849126464 |  1.24208160749 |         22592.0421066 |             378.599023827 | 8.62716375453 |  0.0181825059866 | 69.5610841175 |
| 316.59746974 |  71.43207905 |  5.88 | I/239/hip_main | 100 |  43.2778 |  477.994 |     7287.11 |  316.621688335 | 71.4255970943 |  1.47447064608 |         23424.2091182 |              383.06431531 | 8.66643737385 |  0.0177433859138 | 56.6726555688 |
| 317.56480272 |  53.56310952 |  5.75 | I/239/hip_main | 136 |  600.895 |  96.5033 |     7292.37 |   317.57101764 | 53.5507256275 |  1.27868893017 |         27946.8737844 |             387.120527164 | 8.85810811637 |  0.0150294367525 | 68.5927928597 |
| 319.30929003 |  55.79796866 |  6.00 | I/239/hip_main | 116 |  552.115 |  175.958 |     8184.19 |   319.28427881 | 55.7793607395 |   1.4210764043 |         20305.3876519 |             377.703189666 | 8.51130324517 |  0.0201822278803 | 66.6482956842 |
| 319.64408982 |  62.58545529 |  2.45 | I/239/hip_main |   0 |  342.879 |  322.602 |     63224.9 |  319.588949454 | 62.5902334267 |   1.9359132437 |         346729.500724 |             687.241440405 | 11.5922520181 | 0.00215054375611 | 62.5353859205 |
| 319.84255444 |  64.87184231 |  5.19 | I/239/hip_main |  32 |  273.088 |   372.72 |     16783.7 |  319.786830027 | 64.8842601822 |  1.57585076501 |         57557.2884378 |             424.951210856 | 9.64252584713 | 0.00801066339805 | 60.9169401926 |
| 321.68731183 |  52.89852489 |  6.01 | I/239/hip_main |  66 |  672.835 |  161.241 |     10795.8 |  321.681566155 | 52.8767234967 |  1.13696237789 |         19358.0855133 |             380.792226105 | 8.45943104252 |  0.0213429972215 | 66.6215204056 |
| 322.16489595 |  70.56069481 |  3.23 | I/239/hip_main |   2 |  109.853 |  516.165 |     63216.5 |  322.150946558 | 70.5724631733 |  1.75735539378 |         260912.607678 |              620.12955743 | 11.2835126959 | 0.00257879669289 | 56.2153802676 |
| 322.21967477 |  55.41866782 |  6.14 | I/239/hip_main | 121 |   597.17 |  220.889 |     8055.22 |  322.193325453 | 55.3966858375 |  1.31900437853 |         18756.1138205 |             376.440192497 | 8.42513218144 |  0.0217762385518 | 65.3668273857 |
| 322.58462074 |  52.95795802 |  6.02 | I/239/hip_main |  82 |  681.108 |  179.976 |     10091.4 |  322.569764978 | 52.9396781197 |  1.27086707826 |         22320.6169753 |             382.514670824 | 8.61404051997 |  0.0185939491863 | 66.0967377614 |
| 322.74705697 |  60.45944015 |  5.53 | I/239/hip_main |  33 |  440.063 |  327.129 |     16267.5 |  322.694854549 | 60.4529160076 |  1.27414675483 |         31324.0152416 |              396.11410088 | 8.98196859905 |  0.0137205845464 | 62.6533050824 |
| 322.86443046 |  52.61985967 |  6.17 | I/239/hip_main |  99 |  695.641 |  179.089 |     7400.33 |  322.861266318 | 52.5981166694 |  1.26577340744 |         17307.7393772 |             376.214499929 | 8.33787589976 |   0.023584404845 | 66.0412034979 |
| 323.23574046 |  49.97760064 |  5.77 | I/239/hip_main |  40 |  786.901 |  136.077 |     15014.8 |  323.251022311 | 49.9812124001 |  1.15931943627 |         24397.2485393 |             387.886198606 | 8.71062715866 |  0.0172501634686 |  66.500044147 |
| 324.48011167 |  62.08194667 |  4.76 | I/239/hip_main |  70 |  403.024 |  384.623 |     26036.7 |  324.430395568 | 62.0870385084 |  1.29649404105 |         69629.4527285 |             439.630799951 | 9.84925748686 | 0.00685054096011 | 61.0551039777 |
| 325.47948373 |  71.31118695 |  4.55 | I/239/hip_main |  22 |  105.884 |  565.974 |     23601.9 |  325.480806977 | 71.3249852886 |  1.63137596483 |         77198.2796219 |             447.916473088 | 9.96129408779 | 0.00629533942571 | 54.9174119192 |
| 325.52358201 |  51.18962710 |  4.69 | I/239/hip_main |  21 |  772.971 |  206.893 |     37031.0 |  325.525423191 | 51.1767692529 |  1.24205184746 |         70040.8198216 |             440.487486204 | 9.85565308457 | 0.00682357693341 |  64.833558751 |
| 325.66170056 |  49.60026484 |  6.10 | I/239/hip_main |  81 |  827.989 |  181.153 |     10623.5 |  325.665432968 | 49.6026507353 |  1.13997590258 |         22003.0625114 |             381.132993221 | 8.59848286403 |  0.0187941700129 | 65.0376809832 |
| 325.68905006 |  59.27084085 |  6.10 | I/239/hip_main | 174 |  506.041 |  353.452 |     8340.26 |  325.646678751 | 59.2587962187 |  1.15628947863 |         19072.0694573 |             377.463843601 | 8.44326958175 |   0.021473719526 | 61.9810507549 |
| 325.76719016 |  72.32018258 |  5.18 | I/239/hip_main |  83 |  73.5941 |  587.153 |      8845.4 |  325.765748197 | 72.3243853931 |  1.59818134659 |          42670.932552 |              409.49905308 | 9.31760536815 |  0.0104123919028 | 54.1577594377 |
| 325.87689561 |  58.78005308 |  4.23 | I/239/hip_main |   9 |  524.013 |  348.077 |     63215.7 |  325.841144468 | 58.7652788874 |  1.29804178479 |         123498.352198 |              499.36936443 | 10.4714279399 | 0.00438723068579 | 62.1155913929 |
| 326.22201408 |  62.46057429 |  5.94 | I/239/hip_main | 153 |  405.071 |  418.096 |     11703.2 |  326.180230345 | 62.4700253597 |  1.24415494265 |         19647.2964942 |             382.823398642 | 8.47553203019 |  0.0211409945205 | 60.1633697322 |
| 326.36220534 |  61.12081043 |  4.25 | I/239/hip_main |  27 |  450.744 |  397.017 |     47818.7 |  326.325730277 | 61.1198586979 |   1.1872874764 |         101579.972098 |             475.115820432 | 10.2592952555 |  0.0050748258197 | 60.7944349345 |
| 326.69835794 |  49.30957480 |  4.23 | I/239/hip_main |   5 |  849.827 |  198.949 |     53495.7 |  326.712803147 | 49.3099917633 |  1.16901705332 |         102715.848868 |             476.332565188 | 10.2713686815 | 0.00503155879961 | 64.4052180612 |
| 326.85544759 |  60.69269363 |  5.53 | I/239/hip_main | 128 |  469.025 |   397.59 |     13206.2 |    326.8181892 | 60.6908174124 |  1.18152704585 |         32110.1225107 |             394.463176853 | 9.00887993889 |  0.0133288979742 | 60.7926756643 |
| 327.32921360 |  61.27281592 |  6.18 | I/239/hip_main | 190 |  453.625 |  415.101 |      7020.9 |  327.294970909 | 61.2738009074 |  1.14420001253 |         16144.5991295 |             375.721109553 |  8.2623431974 |  0.0252503887272 | 60.3115681125 |
