|           RA |          DEC |  Vmag |         Source | idx | source_x | source_y | source_peak |     source_RA |      source_DEC |    source_fwhm | residual_aperture_sum | residual_aperture_sum_err |      instrmag |     instrmag_err |           alt |
| 263.06199676 |  11.93000748 |  6.42 | I/239/hip_main |  48 |  872.911 |  708.035 |     10257.3 | 263.065853661 |   11.9263125187 |  1.06317504723 |         16969.6327381 |              417.04480098 | 8.31645614074 |  0.0266649028914 | 51.0949107085 |
| 263.34517510 |  19.25689917 |  5.65 | I/239/hip_main |  39 |  978.889 |  451.009 |     16934.0 | 263.365727699 |    19.253177109 |  1.10609351271 |         24153.7807351 |              423.20010953 |  8.6997378313 |  0.0190103621406 | 56.8458496992 |
| 263.41413313 |  16.31770553 |  5.68 | I/239/hip_main |  97 |  930.195 |  551.681 |     8263.04 | 263.422646042 |   16.3169199378 |  1.06405280614 |         25617.2220291 |             423.096970062 | 8.76360511352 |  0.0179199841417 | 54.7151412631 |
| 263.65287832 |   9.58672378 |  5.80 | I/239/hip_main |  40 |  815.386 |  779.164 |     14132.6 | 263.661044474 |   9.57585007452 |  1.13743334457 |         29878.1666885 |             435.503324435 | 8.93065989712 |  0.0158149297424 | 49.5527860948 |
| 263.73335321 |  12.56057584 |  2.08 | I/239/hip_main |   0 |  860.087 |  676.114 |     63037.6 | 263.731734139 |   12.5500568957 |  1.76425539244 |         254526.312955 |             642.527096867 | 11.2566067485 | 0.00273897771907 | 51.9861056303 |
| 264.74111526 |  13.32915582 |  6.12 | I/239/hip_main |  94 |  838.671 |  633.975 |     8861.24 | 264.729534126 |   13.3244289077 |  1.04421638172 |         14596.3565612 |             413.610905567 | 8.15288619205 |  0.0307451952587 | 53.1923120677 |
| 265.29582024 |  15.17838782 |  6.34 | I/239/hip_main |  82 |  849.759 |  562.018 |     9909.04 | 265.284385759 |   15.1836826245 |  0.99201941914 |         16419.5955586 |             412.813779473 | 8.28068117136 |  0.0272785617118 | 54.9895359845 |
| 265.49432602 |  15.95217942 |  5.54 | I/239/hip_main |  54 |  855.292 |  532.416 |     13914.5 | 265.491465755 |   15.9591774459 | 0.911241149137 |         32609.7246186 |             432.084818725 | 9.02564286079 |  0.0143764485533 | 55.7191520191 |
| 266.07186946 |  14.41003119 |  6.18 | I/239/hip_main |  77 |  811.663 |  576.056 |     10781.9 | 266.060056213 |   14.4162428601 | 0.986768857694 |          18606.342813 |             420.767147984 | 8.41642757843 |  0.0245363831114 | 54.8435563753 |
| 266.78349746 |  17.69704078 |  5.61 | I/239/hip_main |  21 |  841.107 |  453.044 |     22559.7 | 266.779484036 |   17.7122368913 |  1.02835004377 |           33414.65169 |             433.604153396 | 9.05211737865 |   0.014079467618 | 57.8565852908 |
| 267.10313561 |  20.56542749 |  5.69 | I/239/hip_main |  47 |  877.127 |  350.071 |     16620.4 | 267.110215202 |   20.5765102528 |  1.04369815797 |         28973.1539351 |             423.896521614 | 8.89726446712 |  0.0158742719892 | 60.2221266876 |
| 267.19949521 |  19.25499439 |  6.13 | I/239/hip_main | 101 |  852.779 |  393.725 |     7720.74 | 267.197651052 |   19.2654626183 |  1.10151993938 |          16599.212014 |              410.86465967 | 8.29249371255 |  0.0268559830048 | 59.2980143111 |
| 267.68170518 |  11.94662907 |  6.19 | I/239/hip_main |  72 |  718.157 |  634.253 |     10978.9 | 267.675212942 |    11.935942794 |  1.01519542329 |         18136.9817115 |             417.658138836 | 8.38868757021 |   0.024985363488 |  53.735726346 |
