|      file | simple | bitpix | naxis | naxis1 | naxis2 | bscale |   bzero |            date-obs | exptime | exposure | set-temp | ccd-temp | xpixsz | ypixsz | xbinning | ybinning | xorgsubf | yorgsubf |       readoutm | filter |    imagetyp |  sitelat | sitelong |            jd | focallen | aptdia | aptarea |              swcreate |              sbstdver |           object |   telescop |                 instrume |  observer |                                      notes | flipstat |             ra |            dec |  alt |  az |        location |   longitud | latitude | elevatio | amtemp_f | humid | wind_mph |        swowner |
| ib001.fit |   True |     16 |     2 |   1024 |   1024 |    1.0 | 32768.0 | 2017-08-18T04:51:48 |     8.0 |      8.0 |    -20.0 |    -20.0 |   24.0 |   24.0 |        1 |        1 |        0 |        0 | 1MHz High Gain |      V | Light Frame | 00 00 00 | 00 00 00 | 2457983.70264 |      0.0 |    0.0 |     0.0 | MaxIm DL Version 5.15 | SBFITSEXT Version 1.0 |    0 AZ, 7.5 ALT | NexStar #2 | ML4, Nikon f/2_new, 9776 | B Meadows | Clear skies with haze/smoke on low horizon |          |  7.20261054873 |       57.07799 |  7.5 |   0 | Timpooneke Road | -111.69703 | 40.42201 |   2582.0 |     60.5 |  35.8 |      1.0 | Chadwick Moore |
| ib002.fit |   True |     16 |     2 |   1024 |   1024 |    1.0 | 32768.0 | 2017-08-18T04:52:24 |     8.0 |      8.0 |    -20.0 |    -20.0 |   24.0 |   24.0 |        1 |        1 |        0 |        0 | 1MHz High Gain |      V | Light Frame | 00 00 00 | 00 00 00 | 2457983.70306 |      0.0 |    0.0 |     0.0 | MaxIm DL Version 5.15 | SBFITSEXT Version 1.0 |   24 AZ, 7.5 ALT | NexStar #2 | ML4, Nikon f/2_new, 9776 | B Meadows | Clear skies with haze/smoke on low horizon |          |  4.57439354225 |  50.7286928811 |  7.5 |  24 | Timpooneke Road | -111.69703 | 40.42201 |   2582.0 |     60.5 |  35.8 |      1.0 | Chadwick Moore |
| ib003.fit |   True |     16 |     2 |   1024 |   1024 |    1.0 | 32768.0 | 2017-08-18T04:53:00 |     8.0 |      8.0 |    -20.0 |    -20.0 |   24.0 |   24.0 |        1 |        1 |        0 |        0 | 1MHz High Gain |      V | Light Frame | 00 00 00 | 00 00 00 | 2457983.70347 |      0.0 |    0.0 |     0.0 | MaxIm DL Version 5.15 | SBFITSEXT Version 1.0 |   48 AZ, 7.5 ALT | NexStar #2 | ML4, Nikon f/2_new, 9776 | B Meadows | Clear skies with haze/smoke on low horizon |          |  2.83460173043 |   36.134214847 |  7.5 |  48 | Timpooneke Road | -111.69703 | 40.42201 |   2582.0 |     60.5 |  35.8 |      1.0 | Chadwick Moore |
| ib004.fit |   True |     16 |     2 |   1024 |   1024 |    1.0 | 32768.0 | 2017-08-18T04:53:36 |     8.0 |      8.0 |    -20.0 |    -20.0 |   24.0 |   24.0 |        1 |        1 |        0 |        0 | 1MHz High Gain |      V | Light Frame | 00 00 00 | 00 00 00 | 2457983.70389 |      0.0 |    0.0 |     0.0 | MaxIm DL Version 5.15 | SBFITSEXT Version 1.0 |   72 AZ, 7.5 ALT | NexStar #2 | ML4, Nikon f/2_new, 9776 | B Meadows | Clear skies with haze/smoke on low horizon |          |  1.63339174201 |  18.5343729012 |  7.5 |  72 | Timpooneke Road | -111.69703 | 40.42201 |   2582.0 |     60.5 |  35.8 |      1.0 | Chadwick Moore |
| ib005.fit |   True |     16 |     2 |   1024 |   1024 |    1.0 | 32768.0 | 2017-08-18T04:54:12 |     8.0 |      8.0 |    -20.0 |    -20.0 |   24.0 |   24.0 |        1 |        1 |        0 |        0 | 1MHz High Gain |      V | Light Frame | 00 00 00 | 00 00 00 | 2457983.70431 |      0.0 |    0.0 |     0.0 | MaxIm DL Version 5.15 | SBFITSEXT Version 1.0 |   96 AZ, 7.5 ALT | NexStar #2 | ML4, Nikon f/2_new, 9776 | B Meadows | Clear skies with haze/smoke on low horizon |          | 0.603474500609 | 0.328833158719 |  7.5 |  96 | Timpooneke Road | -111.69703 | 40.42201 |   2582.0 |     60.5 |  35.8 |      1.0 | Chadwick Moore |
| ib006.fit |   True |     16 |     2 |   1024 |   1024 |    1.0 | 32768.0 | 2017-08-18T04:54:48 |     8.0 |      8.0 |    -20.0 |    -20.0 |   24.0 |   24.0 |        1 |        1 |        0 |        0 | 1MHz High Gain |      V | Light Frame | 00 00 00 | 00 00 00 | 2457983.70472 |      0.0 |    0.0 |     0.0 | MaxIm DL Version 5.15 | SBFITSEXT Version 1.0 |  120 AZ, 7.5 ALT | NexStar #2 | ML4, Nikon f/2_new, 9776 | B Meadows | Clear skies with haze/smoke on low horizon |          |   23.512111961 | -17.0228684053 |  7.5 | 120 | Timpooneke Road | -111.69703 | 40.42201 |   2582.0 |     60.5 |  35.8 |      1.0 | Chadwick Moore |
| ib007.fit |   True |     16 |     2 |   1024 |   1024 |    1.0 | 32768.0 | 2017-08-18T04:55:24 |     8.0 |      8.0 |    -20.0 | -20.0625 |   24.0 |   24.0 |        1 |        1 |        0 |        0 | 1MHz High Gain |      V | Light Frame | 00 00 00 | 00 00 00 | 2457983.70514 |      0.0 |    0.0 |     0.0 | MaxIm DL Version 5.15 | SBFITSEXT Version 1.0 |  144 AZ, 7.5 ALT | NexStar #2 | ML4, Nikon f/2_new, 9776 | B Meadows | Clear skies with haze/smoke on low horizon |          |  22.1460235849 | -31.7350541158 |  7.5 | 144 | Timpooneke Road | -111.69703 | 40.42201 |   2582.0 |     60.5 |  35.8 |      1.0 | Chadwick Moore |
| ib008.fit |   True |     16 |     2 |   1024 |   1024 |    1.0 | 32768.0 | 2017-08-18T04:56:00 |     8.0 |      8.0 |    -20.0 |    -20.0 |   24.0 |   24.0 |        1 |        1 |        0 |        0 | 1MHz High Gain |      V | Light Frame | 00 00 00 | 00 00 00 | 2457983.70556 |      0.0 |    0.0 |     0.0 | MaxIm DL Version 5.15 | SBFITSEXT Version 1.0 |  168 AZ, 7.5 ALT | NexStar #2 | ML4, Nikon f/2_new, 9776 | B Meadows | Clear skies with haze/smoke on low horizon |          |  20.3263927198 |  -40.817203469 |  7.5 | 168 | Timpooneke Road | -111.69703 | 40.42201 |   2582.0 |     60.5 |  35.8 |      1.0 | Chadwick Moore |
| ib009.fit |   True |     16 |     2 |   1024 |   1024 |    1.0 | 32768.0 | 2017-08-18T04:56:36 |     8.0 |      8.0 |    -20.0 |    -20.0 |   24.0 |   24.0 |        1 |        1 |        0 |        0 | 1MHz High Gain |      V | Light Frame | 00 00 00 | 00 00 00 | 2457983.70597 |      0.0 |    0.0 |     0.0 | MaxIm DL Version 5.15 | SBFITSEXT Version 1.0 |  192 AZ, 7.5 ALT | NexStar #2 | ML4, Nikon f/2_new, 9776 | B Meadows | Clear skies with haze/smoke on low horizon |          |  18.2289899842 |  -40.817203469 |  7.5 | 192 | Timpooneke Road | -111.69703 | 40.42201 |   2582.0 |     60.5 |  35.8 |      1.0 | Chadwick Moore |
| ib010.fit |   True |     16 |     2 |   1024 |   1024 |    1.0 | 32768.0 | 2017-08-18T04:57:12 |     8.0 |      8.0 |    -20.0 |    -20.0 |   24.0 |   24.0 |        1 |        1 |        0 |        0 | 1MHz High Gain |      V | Light Frame | 00 00 00 | 00 00 00 | 2457983.70639 |      0.0 |    0.0 |     0.0 | MaxIm DL Version 5.15 | SBFITSEXT Version 1.0 |  216 AZ, 7.5 ALT | NexStar #2 | ML4, Nikon f/2_new, 9776 | B Meadows | Clear skies with haze/smoke on low horizon |          |  16.4093535488 | -31.7350541158 |  7.5 | 216 | Timpooneke Road | -111.69703 | 40.42201 |   2582.0 |     60.5 |  35.8 |      1.0 | Chadwick Moore |
| ib011.fit |   True |     16 |     2 |   1024 |   1024 |    1.0 | 32768.0 | 2017-08-18T04:57:48 |     8.0 |      8.0 |    -20.0 |    -20.0 |   24.0 |   24.0 |        1 |        1 |        0 |        0 | 1MHz High Gain |      V | Light Frame | 00 00 00 | 00 00 00 | 2457983.70681 |      0.0 |    0.0 |     0.0 | MaxIm DL Version 5.15 | SBFITSEXT Version 1.0 |  240 AZ, 7.5 ALT | NexStar #2 | ML4, Nikon f/2_new, 9776 | B Meadows | Clear skies with haze/smoke on low horizon |          |  15.0433127477 | -17.0228684053 |  7.5 | 240 | Timpooneke Road | -111.69703 | 40.42201 |   2582.0 |     60.5 |  35.8 |      1.0 | Chadwick Moore |
| ib012.fit |   True |     16 |     2 |   1024 |   1024 |    1.0 | 32768.0 | 2017-08-18T04:58:24 |     8.0 |      8.0 |    -20.0 |    -20.0 |   24.0 |   24.0 |        1 |        1 |        0 |        0 | 1MHz High Gain |      V | Light Frame | 00 00 00 | 00 00 00 | 2457983.70722 |      0.0 |    0.0 |     0.0 | MaxIm DL Version 5.15 | SBFITSEXT Version 1.0 |  264 AZ, 7.5 ALT | NexStar #2 | ML4, Nikon f/2_new, 9776 | B Meadows | Clear skies with haze/smoke on low horizon |          |  13.9519223537 | 0.328833158719 |  7.5 | 264 | Timpooneke Road | -111.69703 | 40.42201 |   2582.0 |     60.5 |  35.8 |      1.0 | Chadwick Moore |
| ib013.fit |   True |     16 |     2 |   1024 |   1024 |    1.0 | 32768.0 | 2017-08-18T04:58:59 |     8.0 |      8.0 |    -20.0 |    -20.0 |   24.0 |   24.0 |        1 |        1 |        0 |        0 | 1MHz High Gain |      V | Light Frame | 00 00 00 | 00 00 00 | 2457983.70763 |      0.0 |    0.0 |     0.0 | MaxIm DL Version 5.15 | SBFITSEXT Version 1.0 |  288 AZ, 7.5 ALT | NexStar #2 | ML4, Nikon f/2_new, 9776 | B Meadows | Clear skies with haze/smoke on low horizon |          |  12.9219926332 |  18.5343729012 |  7.5 | 288 | Timpooneke Road | -111.69703 | 40.42201 |   2582.0 |     60.5 |  35.8 |      1.0 | Chadwick Moore |
| ib014.fit |   True |     16 |     2 |   1024 |   1024 |    1.0 | 32768.0 | 2017-08-18T04:59:35 |     8.0 |      8.0 |    -20.0 |    -20.0 |   24.0 |   24.0 |        1 |        1 |        0 |        0 | 1MHz High Gain |      V | Light Frame | 00 00 00 | 00 00 00 | 2457983.70804 |      0.0 |    0.0 |     0.0 | MaxIm DL Version 5.15 | SBFITSEXT Version 1.0 |  312 AZ, 7.5 ALT | NexStar #2 | ML4, Nikon f/2_new, 9776 | B Meadows | Clear skies with haze/smoke on low horizon |          |  11.7207712807 |   36.134214847 |  7.5 | 312 | Timpooneke Road | -111.69703 | 40.42201 |   2582.0 |     60.5 |  35.8 |      1.0 | Chadwick Moore |
| ib015.fit |   True |     16 |     2 |   1024 |   1024 |    1.0 | 32768.0 | 2017-08-18T05:00:11 |     8.0 |      8.0 |    -20.0 |    -20.0 |   24.0 |   24.0 |        1 |        1 |        0 |        0 | 1MHz High Gain |      V | Light Frame | 00 00 00 | 00 00 00 | 2457983.70846 |      0.0 |    0.0 |     0.0 | MaxIm DL Version 5.15 | SBFITSEXT Version 1.0 |  336 AZ, 7.5 ALT | NexStar #2 | ML4, Nikon f/2_new, 9776 | B Meadows | Clear skies with haze/smoke on low horizon |          |  9.98082894635 |  50.7286928811 |  7.5 | 336 | Timpooneke Road | -111.69703 | 40.42201 |   2582.0 |     60.5 |  35.8 |      1.0 | Chadwick Moore |
| ib016.fit |   True |     16 |     2 |   1024 |   1024 |    1.0 | 32768.0 | 2017-08-18T05:09:07 |     8.0 |      8.0 |    -20.0 |    -20.0 |   24.0 |   24.0 |        1 |        1 |        0 |        0 | 1MHz High Gain |      V | Light Frame | 00 00 00 | 00 00 00 | 2457983.71466 |      0.0 |    0.0 |     0.0 | MaxIm DL Version 5.15 | SBFITSEXT Version 1.0 |   0 AZ, 32.5 ALT | NexStar #2 | ML4, Nikon f/2_new, 9776 | B Meadows | Clear skies with haze/smoke on low horizon |          |   7.4919846245 |       82.07799 | 32.5 |   0 | Timpooneke Road | -111.69703 | 40.42201 |   2582.0 |     60.5 |  35.8 |      1.0 | Chadwick Moore |
