# An atlas of Standard Star Fields for UBVRI Photometric Calibration
# Paul S. Smith
# Steward Observatory, University of Arizona, Tucson, AZ 85721 USA
# January 1997; revised March 2001
# Abstract: Photometric standard stars chosen from Landolt (1992) are presented 
# in an atlas of 156 charts produced from Digital Sky Survey. Stars 
# are distributed throughout all hours of Right Ascension and most of 
# these UBVRI standards are equatorial. Charts are presented with a 
# 6.8' x 6.8' field of view.
# http://james.as.arizona.edu/~psmith/61inch/ATLAS/atlasinfo.html
#
# To get from CHART to the URL: 
# http://james.as.arizona.edu/~psmith/61inch/ATLAS/charts/cCHART.html#
# e.g. http://james.as.arizona.edu/~psmith/61inch/ATLAS/charts/c3.html#
# e.g. http://james.as.arizona.edu/~psmith/61inch/ATLAS/charts/c21.html#
# e.g. http://james.as.arizona.edu/~psmith/61inch/ATLAS/charts/c153.html#
#
# All tables combined and put in CSV format via an Excel file, which Julia has.
# 
Star,RA (J2000),Dec (J2000),V,B-V,U-B,V-R,R-I,Color,Chart
92 245,0:54:16,+00:39:51,13.818,1.418,1.189,0.929,0.907,RED,1
92 249,0:54:34,+00:41:05,14.325,0.699,0.24,0.399,0.37,,"1,2"
92 250,0:54:37,+00:38:56,13.178,0.814,0.48,0.446,0.394,,"1,2"
92 252,0:54:48,+00:39:23,14.932,0.517,-0.14,0.326,0.332,,2
92 253,0:54:52,+00:40:20,14.085,1.131,0.955,0.719,0.616,,2
92 410,0:55:15,+01:01:49,14.984,0.398,-0.134,0.239,0.242,,3
92 412,0:55:16,+01:01:53,15.036,0.457,-0.152,0.285,0.304,,3
92 342,0:55:10,+00:43:14,11.613,0.436,-0.042,0.266,0.27,,4
92 263,0:55:40,+00:36:18,11.782,1.048,0.843,0.563,0.522,,5
92 425,0:55:59,+00:52:58,13.941,1.191,1.173,0.755,0.627,,6
92 355,0:56:06,+00:50:47,14.965,1.164,1.201,0.759,0.645,,6
92 430,0:56:16,+00:53:16,14.44,0.567,-0.04,0.338,0.338,,6
92 276,0:56:27,+00:41:53,12.036,0.629,0.067,0.368,0.357,,7
92 282,0:56:47,+00:38:29,12.969,0.318,-0.038,0.201,0.221,,7
92 288,0:57:17,+00:36:46,11.63,0.855,0.472,0.489,0.441,,8
F 11,1:04:22,+04:13:37,12.065,-0.24,-0.978,-0.12,-0.142,BLUE,9
F 16,1:54:08,-06:42:54,12.406,-0.012,0.009,-0.003,0.002,BLUE,10
93 317,1:54:38,+00:43:00,11.546,0.488,-0.055,0.293,0.298,,11
93 333,1:55:05,+00:45:44,12.011,0.832,0.436,0.469,0.422,,12
93 424,1:55:26,+00:56:43,11.62,1.083,0.943,0.554,0.502,,13
G3 33,2:00:09,+13:04:04,12.298,1.804,1.316,1.355,1.751,RED,14
F 22,2:30:17,+05:15:51,12.799,-0.054,-0.806,-0.103,-0.105,BLUE,15
F 24,2:35:08,+03:43:57,12.411,-0.203,-1.169,0.09,0.364,BLUE,16
94 171,2:53:38,+00:17:19,12.659,0.817,0.304,0.48,0.483,,17
94 242,2:57:21,+00:18:38,11.728,0.301,0.107,0.178,0.184,,18
94 251,2:57:46,+00:16:02,11.204,1.219,1.281,0.659,0.587,,18
94 702,2:58:13,+01:10:53,11.594,1.418,1.621,0.756,0.673,RED,19
GD 50,3:48:50,-00:58:33,14.063,-0.276,-1.191,-0.145,-0.18,BLUE,20
95 301,3:52:41,+00:31:21,11.216,1.29,1.296,0.692,0.62,,21
95 302,3:52:42,+00:31:18,11.694,0.825,0.447,0.471,0.42,,21
95 96,3:52:54,+00:00:19,10.01,0.147,0.072,0.079,0.095,,22
95 190,3:53:13,+00:16:20,12.627,0.287,0.236,0.195,0.22,,23
95 193,3:53:20,+00:16:31,14.338,1.211,1.239,0.748,0.616,,23
95 42,3:53:44,-00:04:33,15.606,-0.215,-1.111,-0.119,-0.18,BLUE,24
95 43,3:53:49,-00:03:01,10.803,0.51,-0.016,0.308,0.316,,24
95 317,3:53:44,+00:29:50,13.449,1.32,1.12,0.768,0.708,,25
95 263,3:53:47,+00:26:38,12.679,1.5,1.559,0.801,0.711,RED,25
